movie,year,id
The Color Purple,1985,88939
Commando,1985,88944
Day of the Dead,1985,88993
Deceptions,,89008
Fletch,1985,89155
Fright Night,1985,89175
The Goonies,1985,89218
Jagged Edge,1985,89360
Kiss of the Spider Woman,1985,89424
Ladyhawke,1985,89457
Legend,1985,89469
Lost in America,1985,89504
National Lampoon's European Vacation,1985,89670
A Nightmare on Elm Street 2: Freddy's Revenge,1985,89686
Police Academy 2: Their First Assignment,1985,89822
Rambo: First Blood Part II,1985,89880
Ran,1985,89881
Real Genius,1985,89886
The Return of the Living Dead,1985,89907
Rocky IV,1985,89927
Silver Bullet,1985,90021
Silverado,1985,90022
St. Elmo's Fire,1985,90060
Starchaser: The Legend of Orin,1985,90065
Teen Wolf,1985,90142
A View to a Kill,1985,90264
Witness,1985,90329
Aliens,1986,90605
April Fool's Day,1986,90655
Big Trouble in Little China,1986,90728
Blue Velvet,1986,90756
Ferris Bueller's Day Off,1986,91042
The Fly,1986,91064
Friday the 13th Part VI: Jason Lives,1986,91080
Hannah and Her Sisters,1986,91167
Highlander,1986,91203
The Hitcher,1986,91209
Invaders from Mars,1986,91276
"Jo Jo Dancer, Your Life Is Calling",1986,91295
The Karate Kid Part II,1986,91326
Labyrinth,1986,91369
Little Shop of Horrors,1986,91419
Manhunter,1986,91474
Peggy Sue Got Married,1986,91738
Platoon,1986,91763
Police Academy 3: Back in Training,1986,91777
River's Edge,1986,91860
Running Scared,1986,91875
Stand by Me,1986,92005
Star Trek IV: The Voyage Home,1986,92007
Three Amigos!,1986,92086
Top Gun,1986,92099
Tough Guys,1986,92105
The Transformers: The Movie,1986,92106
Trick or Treat,1986,92112
Broadcast News,1987,92699
Disorderlies,1987,92897
Evil Dead II,1987,92991
Fatal Attraction,1987,93010
Full Metal Jacket,1987,93058
Hellraiser,1987,93177
Hope and Glory,1987,93209
Innerspace,1987,93260
Lethal Weapon,1987,93409
Like Father Like Son,1987,93418
The Living Daylights,1987,93428
The Lost Boys,1987,93437
Made in Heaven,1987,93467
Moonstruck,1987,93565
My Demon Lover,1987,93589
Near Dark,1987,93605
Night of the Demons,1988,93624
A Nightmare on Elm Street 3: Dream Warriors,1987,93629
Overboard,1987,93693
"Planes, Trains & Automobiles",1987,93748
Predator,1987,93773
Prince of Darkness,1987,93777
The Princess Bride,1987,93779
Raising Arizona,1987,93822
RoboCop,1987,93870
Some Kind of Wonderful,1987,94006
Someone to Watch Over Me,1987,94008
Spaceballs,1987,94012
Street Smart,1987,94056
Superman IV: The Quest for Peace,1987,94074
Three Men and a Baby,1987,94137
Tin Men,1987,94155
Wall Street,1987,94291
The Witches of Eastwick,1987,94332
Withnail & I,1987,94336
Above the Law,1988,94602
The Accidental Tourist,1988,94606
Action Jackson,1988,94612
Alien Nation,1988,94631
Bad Dreams,1988,94701
Beetlejuice,1988,94721
Big,1988,94737
The Blob,1988,94761
Bull Durham,1988,94812
Coming to America,1988,94898
Die Hard,1988,95016
A Fish Called Wanda,1988,95159
Frantic,1988,95174
The Big Blue,1988,95250
Halloween 4: The Return of Michael Myers,1988,95271
Hellbound: Hellraiser II,1988,95294
Killer Klowns from Outer Space,1988,95444
The Last Temptation of Christ,1988,95497
Maniac Cop,1988,95583
Midnight Run,1988,95631
