character,movie,mbti,href,year,notes,id,mbti_vote,mbti_count,big5_vote,big5_count
Peter Gibbons,office space,INFP,https://www.personality-database.com/profile/38885/peter-gibbons-office-space-1999-mbti-personality-type,1999.0,,151804.0,INFP(31),42 Votes,RCUEI(3),6 Votes
Samir Nagheenanajar,office space,INTJ,https://www.personality-database.com/profile/38889/samir-nagheenanajar-office-space-1999-mbti-personality-type,1999.0,,151804.0,INTJ(12),18 Votes,SLOEI(3),4 Votes
Michael Bolton,office space,INTP,https://www.personality-database.com/profile/38888/michael-bolton-office-space-1999-mbti-personality-type,1999.0,,151804.0,INTP(25),26 Votes,RCUEN(1),3 Votes
Milton Waddams,office space,ISFJ,https://www.personality-database.com/profile/38887/milton-waddams-office-space-1999-mbti-personality-type,1999.0,,151804.0,ISFJ(14),17 Votes,RLUEN(2),3 Votes
Ruby,kids,ESTP,https://www.personality-database.com/profile/261046/ruby-kids-1995-mbti-personality-type,1995.0,,113540.0,ESTP(3),3 Votes,XXXX(0),0 Votes
Telly,kids,ESTP,https://www.personality-database.com/profile/258738/telly-kids-1995-mbti-personality-type,1995.0,,113540.0,ESTP(7),7 Votes,XXXX(0),0 Votes
Jennie,kids,ISFP,https://www.personality-database.com/profile/258740/jennie-kids-1995-mbti-personality-type,1995.0,,113540.0,ISFP(7),7 Votes,XXXX(0),0 Votes
Casper,kids,ISTP,https://www.personality-database.com/profile/258739/casper-kids-1995-mbti-personality-type,1995.0,,113540.0,ISTP(4),5 Votes,XXXX(0),0 Votes
Jacy Farrow,the last picture show,ESFJ,https://www.personality-database.com/profile/256458/jacy-farrow-the-last-picture-show-1971-mbti-personality-type,1971.0,,67328.0,ESFJ(3),5 Votes,XXXX(0),0 Votes
Duane Jackson,the last picture show,ESTP,https://www.personality-database.com/profile/256457/duane-jackson-the-last-picture-show-1971-mbti-personality-type,1971.0,,67328.0,ESTP(4),4 Votes,XXXX(0),0 Votes
Ruth Popper,the last picture show,ISFJ,https://www.personality-database.com/profile/256460/ruth-popper-the-last-picture-show-1971-mbti-personality-type,1971.0,,67328.0,ISFJ(2),2 Votes,XXXX(0),0 Votes
Sonny Crawford,the last picture show,ISFP,https://www.personality-database.com/profile/256456/sonny-crawford-the-last-picture-show-1971-mbti-personality-type,1971.0,,67328.0,ISFP(6),7 Votes,XXXX(0),0 Votes
Sam the Lion,the last picture show,ISTJ,https://www.personality-database.com/profile/256459/sam-the-lion-the-last-picture-show-1971-mbti-personality-type,1971.0,,67328.0,ISTJ(2),2 Votes,XXXX(0),0 Votes
Trey Lipton,new york minute,ESFJ,https://www.personality-database.com/profile/246909/trey-lipton-new-york-minute-2004-mbti-personality-type,2004.0,,363282.0,ESFJ(6),6 Votes,SCUAN(1),1 Votes
Max Lomax,new york minute,ESTJ,https://www.personality-database.com/profile/246911/max-lomax-new-york-minute-2004-mbti-personality-type,2004.0,,363282.0,ESTJ(2),3 Votes,RCOEN(1),1 Votes
Roxy Ryan,new york minute,ESTP,https://www.personality-database.com/profile/246905/roxy-ryan-new-york-minute-2004-mbti-personality-type,2004.0,,363282.0,ESTP(29),40 Votes,SLUEN(2),2 Votes
Dr. Ryan,new york minute,INFJ,https://www.personality-database.com/profile/246914/dr-ryan-new-york-minute-2004-mbti-personality-type,2004.0,,363282.0,INFJ(1),1 Votes,XXXX(0),0 Votes
Jim,new york minute,ISFP,https://www.personality-database.com/profile/246910/jim-new-york-minute-2004-mbti-personality-type,2004.0,,363282.0,ISFP(5),7 Votes,XXXX(0),0 Votes
Jane Ryan,new york minute,ISTJ,https://www.personality-database.com/profile/246906/jane-ryan-new-york-minute-2004-mbti-personality-type,2004.0,,363282.0,ISTJ(26),33 Votes,RCOAN(1),1 Votes
Zoe,the back-up plan,ESFJ,https://www.personality-database.com/profile/240813/zoe-the-backup-plan-2010-mbti-personality-type,2010.0,,1212436.0,ESFJ(2),3 Votes,XXXX(0),0 Votes
Linda,the wedding singer,ESFJ,https://www.personality-database.com/profile/236639/linda-the-wedding-singer-1998-mbti-personality-type,1998.0,,120888.0,ESFJ(4),6 Votes,XXXX(0),0 Votes
Sammy,the wedding singer,ESFP,https://www.personality-database.com/profile/323780/sammy-the-wedding-singer-1998-mbti-personality-type,1998.0,,120888.0,ESFP(2),4 Votes,XXXX(0),0 Votes
Holly Sullivan,the wedding singer,ESFP,https://www.personality-database.com/profile/236637/holly-sullivan-the-wedding-singer-1998-mbti-personality-type,1998.0,,120888.0,ESFP(3),3 Votes,XXXX(0),0 Votes
Julia Sullivan,the wedding singer,INFJ,https://www.personality-database.com/profile/236636/julia-sullivan-the-wedding-singer-1998-mbti-personality-type,1998.0,,120888.0,INFJ(8),17 Votes,XXXX(0),0 Votes
Robbie Hart,the wedding singer,INFP,https://www.personality-database.com/profile/236635/robbie-hart-the-wedding-singer-1998-mbti-personality-type,1998.0,,120888.0,INFP(11),27 Votes,SCUAI(1),2 Votes
George Stitzer,the wedding singer,INTP,https://www.personality-database.com/profile/389451/george-stitzer-the-wedding-singer-1998-mbti-personality-type,1998.0,,120888.0,INTP(3),4 Votes,XXXX(0),0 Votes
Alice Reed,cat people,ESFJ,https://www.personality-database.com/profile/235906/alice-reed-cat-people-1942-mbti-personality-type,1942.0,,34587.0,ESFJ(1),1 Votes,XXXX(0),0 Votes
Oliver Yates,cat people,ESTJ,https://www.personality-database.com/profile/235905/oliver-yates-cat-people-1942-mbti-personality-type,1942.0,,34587.0,ESTJ(1),1 Votes,XXXX(0),0 Votes
Irena Dubrovna,cat people,INFJ,https://www.personality-database.com/profile/235904/irena-dubrovna-cat-people-1942-mbti-personality-type,1942.0,,34587.0,INFJ(1),1 Votes,XXXX(0),0 Votes
Dr. Louis Judd,cat people,ISTJ,https://www.personality-database.com/profile/235907/dr-louis-judd-cat-people-1942-mbti-personality-type,1942.0,,34587.0,ISTJ(1),1 Votes,XXXX(0),0 Votes
Nicky Santoro,casino,ESTP,https://www.personality-database.com/profile/30463/nicky-santoro-casino-1995-mbti-personality-type,1995.0,,112641.0,ESTP(40),46 Votes,SCUEN(2),4 Votes
Artie Piscano,casino,INFP,https://www.personality-database.com/profile/197776/artie-piscano-casino-1995-mbti-personality-type,1995.0,,112641.0,INFP(1),1 Votes,XXXX(0),0 Votes
Philip Green,casino,INTJ,https://www.personality-database.com/profile/197763/philip-green-casino-1995-mbti-personality-type,1995.0,,112641.0,INTJ(2),4 Votes,XXXX(0),0 Votes
Billy Sherbert,casino,ISFJ,https://www.personality-database.com/profile/197773/billy-sherbert-casino-1995-mbti-personality-type,1995.0,,112641.0,ISFJ(3),3 Votes,XXXX(0),0 Votes
Lester Diamond,casino,ISFP,https://www.personality-database.com/profile/30464/lester-diamond-casino-1995-mbti-personality-type,1995.0,,112641.0,ISFP(8),15 Votes,XXXX(0),0 Votes
Sam 'Ace' Rothstein,casino,ISTJ,https://www.personality-database.com/profile/30461/sam-ace-rothstein-casino-1995-mbti-personality-type,1995.0,,112641.0,ISTJ(53),72 Votes,RCOEN(4),9 Votes
Andy Stone,casino,ISTJ,https://www.personality-database.com/profile/197772/andy-stone-casino-1995-mbti-personality-type,1995.0,,112641.0,ISTJ(2),2 Votes,XXXX(0),0 Votes
Frank Marino,casino,ISTP,https://www.personality-database.com/profile/91103/frank-marino-casino-1995-mbti-personality-type,1995.0,,112641.0,ISTP(6),7 Votes,XXXX(0),0 Votes
Meredith Black,the beaver,ESFJ,https://www.personality-database.com/profile/189418/meredith-black-the-beaver-2011-mbti-personality-type,2011.0,,1321860.0,ESFJ(1),1 Votes,XXXX(0),0 Votes
Porter Black,the beaver,INFJ,https://www.personality-database.com/profile/189419/porter-black-the-beaver-2011-mbti-personality-type,2011.0,,1321860.0,INFJ(1),1 Votes,XXXX(0),0 Votes
Simon,death at a funeral,ESFJ,https://www.personality-database.com/profile/189391/simon-death-at-a-funeral-2007-mbti-personality-type,2007.0,,795368.0,ESFJ(3),3 Votes,XXXX(0),0 Votes
Jan Kubiš,anthropoid,INFP,https://www.personality-database.com/profile/187813/jan-kubi-anthropoid-2016-mbti-personality-type,2016.0,,4190530.0,INFP(1),1 Votes,XXXX(0),0 Votes
Jozef Gabčík,anthropoid,INTJ,https://www.personality-database.com/profile/187812/jozef-gabk-anthropoid-2016-mbti-personality-type,2016.0,,4190530.0,INTJ(7),10 Votes,RLOEI(1),1 Votes
Uncle Hajský,anthropoid,INTP,https://www.personality-database.com/profile/187818/uncle-hajsk-anthropoid-2016-mbti-personality-type,2016.0,,4190530.0,INTP(3),3 Votes,XXXX(0),0 Votes
Marie Kovárníková,anthropoid,ISFP,https://www.personality-database.com/profile/187814/marie-kovrnkov-anthropoid-2016-mbti-personality-type,2016.0,,4190530.0,ISFP(2),2 Votes,XXXX(0),0 Votes
Lenka Fafková,anthropoid,ISTJ,https://www.personality-database.com/profile/187815/lenka-fafkov-anthropoid-2016-mbti-personality-type,2016.0,,4190530.0,ISTJ(2),2 Votes,XXXX(0),0 Votes
Mother,i'm thinking of ending things,ESFJ,https://www.personality-database.com/profile/184522/mother-im-thinking-of-ending-things-2020-mbti-personality-type,2020.0,,7939766.0,ESFJ(23),24 Votes,XXXX(0),0 Votes
The Young Woman,i'm thinking of ending things,INFJ,https://www.personality-database.com/profile/184519/the-young-woman-im-thinking-of-ending-things-2020-mbti-personality-type,2020.0,,7939766.0,INFJ(67),80 Votes,RCOAI(3),6 Votes
Jake,i'm thinking of ending things,INFP,https://www.personality-database.com/profile/184520/jake-im-thinking-of-ending-things-2020-mbti-personality-type,2020.0,,7939766.0,INFP(52),69 Votes,RLUEI(2),3 Votes
Young Man,i'm thinking of ending things,INFP,https://www.personality-database.com/profile/184544/young-man-im-thinking-of-ending-things-2020-mbti-personality-type,2020.0,,7939766.0,INFP(1),1 Votes,XXXX(0),0 Votes
Yvonne,i'm thinking of ending things,INTJ,https://www.personality-database.com/profile/184543/yvonne-im-thinking-of-ending-things-2020-mbti-personality-type,2020.0,,7939766.0,INTJ(2),3 Votes,XXXX(0),0 Votes
Father,i'm thinking of ending things,ISTP,https://www.personality-database.com/profile/184521/father-im-thinking-of-ending-things-2020-mbti-personality-type,2020.0,,7939766.0,ISTP(18),22 Votes,XXXX(0),0 Votes
Anna Brady,leap year,ESFJ,https://www.personality-database.com/profile/146779/anna-brady-leap-year-2010-mbti-personality-type,2010.0,,1216492.0,ESFJ(22),34 Votes,XXXX(0),0 Votes
Jeremy Sloane,leap year,ESTJ,https://www.personality-database.com/profile/198903/jeremy-sloane-leap-year-2010-mbti-personality-type,2010.0,,1216492.0,ESTJ(6),7 Votes,XXXX(0),0 Votes
Declan O'Callaghan,leap year,ISTP,https://www.personality-database.com/profile/146780/declan-ocallaghan-leap-year-2010-mbti-personality-type,2010.0,,1216492.0,ISTP(32),34 Votes,RCUEN(1),1 Votes
Mom,boys don't cry,ESFJ,https://www.personality-database.com/profile/146079/mom-boys-dont-cry-1999-mbti-personality-type,1999.0,,171804.0,ESFJ(1),1 Votes,XXXX(0),0 Votes
John Litter,boys don't cry,ESFP,https://www.personality-database.com/profile/81535/john-litter-boys-dont-cry-1999-mbti-personality-type,1999.0,,171804.0,ESFP(2),4 Votes,XXXX(0),0 Votes
Brandon Teena,boys don't cry,ESFP,https://www.personality-database.com/profile/81533/brandon-teena-boys-dont-cry-1999-mbti-personality-type,1999.0,,171804.0,ESFP(8),11 Votes,RLUEN(1),1 Votes
Candace,boys don't cry,ISFJ,https://www.personality-database.com/profile/146078/candace-boys-dont-cry-1999-mbti-personality-type,1999.0,,171804.0,ISFJ(2),2 Votes,XXXX(0),0 Votes
Lana Tisdel,boys don't cry,ISFP,https://www.personality-database.com/profile/81534/lana-tisdel-boys-dont-cry-1999-mbti-personality-type,1999.0,,171804.0,ISFP(9),11 Votes,XXXX(0),0 Votes
Tom Nissen,boys don't cry,ISTP,https://www.personality-database.com/profile/81536/tom-nissen-boys-dont-cry-1999-mbti-personality-type,1999.0,,171804.0,ISTP(2),2 Votes,XXXX(0),0 Votes
Jessica Karley,zero dark thirty,ESFJ,https://www.personality-database.com/profile/141890/jessica-karley-zero-dark-thirty-2012-mbti-personality-type,2012.0,,1790885.0,ESFJ(1),1 Votes,XXXX(0),0 Votes
Dan Fuller,zero dark thirty,ESTJ,https://www.personality-database.com/profile/141888/dan-fuller-zero-dark-thirty-2012-mbti-personality-type,2012.0,,1790885.0,ESTJ(3),3 Votes,XXXX(0),0 Votes
Maya Harris,zero dark thirty,INTJ,https://www.personality-database.com/profile/141887/maya-harris-zero-dark-thirty-2012-mbti-personality-type,2012.0,,1790885.0,INTJ(15),24 Votes,RLOEN(1),1 Votes
Mrs. Keeley,the birdcage,ESFJ,https://www.personality-database.com/profile/130888/mrs-keeley-the-birdcage-1996-mbti-personality-type,1996.0,,115685.0,ESFJ(4),5 Votes,SCOAN(1),1 Votes
Agador Spartacus,the birdcage,ESFP,https://www.personality-database.com/profile/394478/agador-spartacus-the-birdcage-1996-mbti-personality-type,1996.0,,115685.0,ESFP(2),2 Votes,SLUAN(1),1 Votes
Senator Keeley,the birdcage,ESTJ,https://www.personality-database.com/profile/130877/senator-keeley-the-birdcage-1996-mbti-personality-type,1996.0,,115685.0,ESTJ(7),11 Votes,SLOEN(1),1 Votes
Barbara Keeley,the birdcage,INFP,https://www.personality-database.com/profile/130889/barbara-keeley-the-birdcage-1996-mbti-personality-type,1996.0,,115685.0,INFP(6),7 Votes,XXXX(0),0 Votes
Armand Goldman,the birdcage,ISTP,https://www.personality-database.com/profile/130875/armand-goldman-the-birdcage-1996-mbti-personality-type,1996.0,,115685.0,ISTP(6),10 Votes,RLUAN(1),2 Votes
Val Goldman,the birdcage,ISTP,https://www.personality-database.com/profile/130878/val-goldman-the-birdcage-1996-mbti-personality-type,1996.0,,115685.0,ISTP(4),6 Votes,XXXX(0),0 Votes
Jasmine Francis,blue jasmine,ESFJ,https://www.personality-database.com/profile/127791/jasmine-francis-blue-jasmine-2013-mbti-personality-type,2013.0,,2334873.0,ESFJ(12),23 Votes,SLOAN(1),1 Votes
Chilli,blue jasmine,ESTP,https://www.personality-database.com/profile/257592/chilli-blue-jasmine-2013-mbti-personality-type,2013.0,,2334873.0,ESTP(4),5 Votes,XXXX(0),0 Votes
Hal Francis,blue jasmine,ESTP,https://www.personality-database.com/profile/257591/hal-francis-blue-jasmine-2013-mbti-personality-type,2013.0,,2334873.0,ESTP(4),4 Votes,XXXX(0),0 Votes
Danny,blue jasmine,ISFP,https://www.personality-database.com/profile/278736/danny-blue-jasmine-2013-mbti-personality-type,2013.0,,2334873.0,ISFP(1),1 Votes,XXXX(0),0 Votes
Al Munsinger,blue jasmine,ISFP,https://www.personality-database.com/profile/278715/al-munsinger-blue-jasmine-2013-mbti-personality-type,2013.0,,2334873.0,ISFP(1),1 Votes,XXXX(0),0 Votes
Ginger,blue jasmine,ISFP,https://www.personality-database.com/profile/239871/ginger-blue-jasmine-2013-mbti-personality-type,2013.0,,2334873.0,ISFP(4),9 Votes,XXXX(0),0 Votes
Sean Townsend,a simple favor,INFP,https://www.personality-database.com/profile/123334/sean-townsend-a-simple-favor-2018-mbti-personality-type,2018.0,,7040874.0,INFP(13),18 Votes,XXXX(0),0 Votes
Grace Dover,prisoners,ESFJ,https://www.personality-database.com/profile/122399/grace-dover-prisoners-2013-mbti-personality-type,2013.0,,1392214.0,ESFJ(6),7 Votes,XXXX(0),0 Votes
Nancy Birch,prisoners,ESFJ,https://www.personality-database.com/profile/122397/nancy-birch-prisoners-2013-mbti-personality-type,2013.0,,1392214.0,ESFJ(4),7 Votes,XXXX(0),0 Votes
Eliza Birch,prisoners,ESFP,https://www.personality-database.com/profile/457632/eliza-birch-prisoners-2013-mbti-personality-type,2013.0,,1392214.0,ESFP(1),1 Votes,XXXX(0),0 Votes
Keller Dover,prisoners,ESTJ,https://www.personality-database.com/profile/77592/keller-dover-prisoners-2013-mbti-personality-type,2013.0,,1392214.0,ESTJ(60),87 Votes,RLOEN(10),12 Votes
Bob Taylor,prisoners,INFJ,https://www.personality-database.com/profile/122400/bob-taylor-prisoners-2013-mbti-personality-type,2013.0,,1392214.0,INFJ(12),17 Votes,RLOAI(1),1 Votes
Alex Jones,prisoners,INFP,https://www.personality-database.com/profile/97741/alex-jones-prisoners-2013-mbti-personality-type,2013.0,,1392214.0,INFP(25),33 Votes,RLUAI(3),5 Votes
Holly Jones,prisoners,INTJ,https://www.personality-database.com/profile/97742/holly-jones-prisoners-2013-mbti-personality-type,2013.0,,1392214.0,INTJ(24),30 Votes,RCOEI(3),3 Votes
Franklin Birch,prisoners,ISFJ,https://www.personality-database.com/profile/122398/franklin-birch-prisoners-2013-mbti-personality-type,2013.0,,1392214.0,ISFJ(19),23 Votes,RLOAN(2),3 Votes
David Langley,bean,ISFJ,https://www.personality-database.com/profile/105153/david-langley-bean-1997-mbti-personality-type,1997.0,,118689.0,ISFJ(3),4 Votes,RLOAN(1),1 Votes
Jennifer Langley,bean,ISFP,https://www.personality-database.com/profile/105155/jennifer-langley-bean-1997-mbti-personality-type,1997.0,,118689.0,ISFP(2),2 Votes,XXXX(0),0 Votes
Mrs. Sofia,roma,ESFJ,https://www.personality-database.com/profile/94784/mrs-sofia-roma-2018-mbti-personality-type,2018.0,,6155172.0,ESFJ(4),5 Votes,XXXX(0),0 Votes
Pepe,roma,INFP,https://www.personality-database.com/profile/94785/pepe-roma-2018-mbti-personality-type,2018.0,,6155172.0,INFP(2),2 Votes,XXXX(0),0 Votes
Cleo,roma,ISFJ,https://www.personality-database.com/profile/94783/cleo-roma-2018-mbti-personality-type,2018.0,,6155172.0,ISFJ(12),12 Votes,XXXX(0),0 Votes
Dot,raising arizona,ESFJ,https://www.personality-database.com/profile/91412/dot-raising-arizona-1987-mbti-personality-type,1987.0,,93822.0,ESFJ(2),2 Votes,XXXX(0),0 Votes
H.I,raising arizona,ESFP,https://www.personality-database.com/profile/91408/hi-raising-arizona-1987-mbti-personality-type,1987.0,,93822.0,ESFP(9),12 Votes,SLUAN(1),1 Votes
Ed,raising arizona,ESTJ,https://www.personality-database.com/profile/91409/ed-raising-arizona-1987-mbti-personality-type,1987.0,,93822.0,ESTJ(8),8 Votes,XXXX(0),0 Votes
Gale,raising arizona,ESTP,https://www.personality-database.com/profile/91415/gale-raising-arizona-1987-mbti-personality-type,1987.0,,93822.0,ESTP(3),3 Votes,XXXX(0),0 Votes
Glen,raising arizona,ESTP,https://www.personality-database.com/profile/91413/glen-raising-arizona-1987-mbti-personality-type,1987.0,,93822.0,ESTP(2),2 Votes,XXXX(0),0 Votes
"Nathan Arizona, Sr.",raising arizona,ESTP,https://www.personality-database.com/profile/91410/nathan-arizona-sr-raising-arizona-1987-mbti-personality-type,1987.0,,93822.0,ESTP(5),7 Votes,XXXX(0),0 Votes
Evelle,raising arizona,ISFP,https://www.personality-database.com/profile/91416/evelle-raising-arizona-1987-mbti-personality-type,1987.0,,93822.0,ISFP(3),4 Votes,XXXX(0),0 Votes
Leonard Smalls,raising arizona,ISTP,https://www.personality-database.com/profile/91417/leonard-smalls-raising-arizona-1987-mbti-personality-type,1987.0,,93822.0,ISTP(6),6 Votes,RCUEN(1),1 Votes
Nai Nai,the farewell,ESFJ,https://www.personality-database.com/profile/88366/nai-nai-the-farewell-2019-mbti-personality-type,2019.0,,8637428.0,ESFJ(6),8 Votes,SCOAN(1),1 Votes
Billi Wang,the farewell,INFP,https://www.personality-database.com/profile/88364/billi-wang-the-farewell-2019-mbti-personality-type,2019.0,,8637428.0,INFP(14),19 Votes,RLUAI(2),2 Votes
Haibin Wang,the farewell,ISTJ,https://www.personality-database.com/profile/96738/haibin-wang-the-farewell-2019-mbti-personality-type,2019.0,,8637428.0,ISTJ(1),1 Votes,XXXX(0),0 Votes
Lu Jian Wang,the farewell,ISTJ,https://www.personality-database.com/profile/96724/lu-jian-wang-the-farewell-2019-mbti-personality-type,2019.0,,8637428.0,ISTJ(5),5 Votes,XXXX(0),0 Votes
Little Nai Nai,the farewell,ISTP,https://www.personality-database.com/profile/96740/little-nai-nai-the-farewell-2019-mbti-personality-type,2019.0,,8637428.0,ISTP(1),1 Votes,XXXX(0),0 Votes
Taylor Sloane,ingrid goes west,ESFJ,https://www.personality-database.com/profile/88305/taylor-sloane-ingrid-goes-west-2017-mbti-personality-type,2017.0,,5962210.0,ESFJ(16),19 Votes,SCOAN(5),6 Votes
Nicky Sloane,ingrid goes west,ESTP,https://www.personality-database.com/profile/88306/nicky-sloane-ingrid-goes-west-2017-mbti-personality-type,2017.0,,5962210.0,ESTP(8),8 Votes,SCUEI(1),1 Votes
Ingrid Thorburn,ingrid goes west,INFJ,https://www.personality-database.com/profile/88304/ingrid-thorburn-ingrid-goes-west-2017-mbti-personality-type,2017.0,,5962210.0,INFJ(23),35 Votes,RLOAN(6),6 Votes
Dan Pinto,ingrid goes west,ISFP,https://www.personality-database.com/profile/104985/dan-pinto-ingrid-goes-west-2017-mbti-personality-type,2017.0,,5962210.0,ISFP(8),9 Votes,RCOAI(2),2 Votes
Ezra O'Keefe,ingrid goes west,ISFP,https://www.personality-database.com/profile/88307/ezra-okeefe-ingrid-goes-west-2017-mbti-personality-type,2017.0,,5962210.0,ISFP(7),9 Votes,XXXX(0),0 Votes
Meredith Crowthorn,solomon kane,ESFJ,https://www.personality-database.com/profile/81698/meredith-crowthorn-solomon-kane-2009-mbti-personality-type,2009.0,,970452.0,ESFJ(1),1 Votes,XXXX(0),0 Votes
Soloman Kane,solomon kane,ISTP,https://www.personality-database.com/profile/81696/soloman-kane-solomon-kane-2009-mbti-personality-type,2009.0,,970452.0,ISTP(2),2 Votes,XXXX(0),0 Votes
Marianne,shame,ESFJ,https://www.personality-database.com/profile/75586/marianne-shame-2011-mbti-personality-type,2011.0,,1723811.0,ESFJ(6),7 Votes,XXXX(0),0 Votes
David Fisher,shame,ESFP,https://www.personality-database.com/profile/75584/david-fisher-shame-2011-mbti-personality-type,2011.0,,1723811.0,ESFP(4),6 Votes,XXXX(0),0 Votes
Sissy Sullivan,shame,ISFP,https://www.personality-database.com/profile/75504/sissy-sullivan-shame-2011-mbti-personality-type,2011.0,,1723811.0,ISFP(15),19 Votes,XXXX(0),0 Votes
Brandon Sullivan,shame,ISTP,https://www.personality-database.com/profile/75503/brandon-sullivan-shame-2011-mbti-personality-type,2011.0,,1723811.0,ISTP(28),59 Votes,RCOEI(2),3 Votes
Erika Berger,the girl with the dragon tattoo,ESFJ,https://www.personality-database.com/profile/69198/erika-berger-the-girl-with-the-dragon-tattoo-2011-mbti-personality-type,2011.0,,1568346.0,ESFJ(2),2 Votes,XXXX(0),0 Votes
Lisbeth Salander,the girl with the dragon tattoo,ISTP,https://www.personality-database.com/profile/69194/lisbeth-salander-the-girl-with-the-dragon-tattoo-2011-mbti-personality-type,2011.0,,1568346.0,ISTP(104),161 Votes,RCUEI(8),12 Votes
Lisa,fast times at ridgemont high,ESFJ,https://www.personality-database.com/profile/59644/lisa-fast-times-at-ridgemont-high-1982-mbti-personality-type,1982.0,,83929.0,ESFJ(3),3 Votes,XXXX(0),0 Votes
Linda Barrett,fast times at ridgemont high,ESFP,https://www.personality-database.com/profile/59642/linda-barrett-fast-times-at-ridgemont-high-1982-mbti-personality-type,1982.0,,83929.0,ESFP(7),7 Votes,SCUAN(1),1 Votes
Brad Hamilton,fast times at ridgemont high,ESFP,https://www.personality-database.com/profile/59639/brad-hamilton-fast-times-at-ridgemont-high-1982-mbti-personality-type,1982.0,,83929.0,ESFP(6),8 Votes,RLUAI(1),1 Votes
Jeff Spicoli,fast times at ridgemont high,ESFP,https://www.personality-database.com/profile/59638/jeff-spicoli-fast-times-at-ridgemont-high-1982-mbti-personality-type,1982.0,,83929.0,ESFP(18),22 Votes,SCUAN(2),3 Votes
Mike Damone,fast times at ridgemont high,ESTP,https://www.personality-database.com/profile/59641/mike-damone-fast-times-at-ridgemont-high-1982-mbti-personality-type,1982.0,,83929.0,ESTP(9),11 Votes,RLUEI(1),1 Votes
Arnold,fast times at ridgemont high,INTP,https://www.personality-database.com/profile/59647/arnold-fast-times-at-ridgemont-high-1982-mbti-personality-type,1982.0,,83929.0,INTP(1),1 Votes,XXXX(0),0 Votes
Mark Ratner,fast times at ridgemont high,ISFJ,https://www.personality-database.com/profile/59643/mark-ratner-fast-times-at-ridgemont-high-1982-mbti-personality-type,1982.0,,83929.0,ISFJ(7),8 Votes,XXXX(0),0 Votes
Stacy Hamilton,fast times at ridgemont high,ISFP,https://www.personality-database.com/profile/59640/stacy-hamilton-fast-times-at-ridgemont-high-1982-mbti-personality-type,1982.0,,83929.0,ISFP(6),10 Votes,RLUAN(1),1 Votes
Kiki,bad moms,ISFJ,https://www.personality-database.com/profile/52384/kiki-bad-moms-2016-mbti-personality-type,2016.0,,4651520.0,ISFJ(16),21 Votes,RLUAI(1),1 Votes
"Veronica ""Ronnie"" Quaife",the fly,ESFJ,https://www.personality-database.com/profile/49703/veronica-ronnie-quaife-the-fly-1986-mbti-personality-type,1986.0,,91064.0,ESFJ(10),14 Votes,SCOAI(1),1 Votes
Stathis Borans,the fly,ESTJ,https://www.personality-database.com/profile/526116/stathis-borans-the-fly-1986-mbti-personality-type,1986.0,,91064.0,ESTP(2),3 Votes,SLOEN(1),1 Votes
Seth Brundle,the fly,INTP,https://www.personality-database.com/profile/49702/seth-brundle-the-fly-1986-mbti-personality-type,1986.0,,91064.0,INTP(26),36 Votes,RCUAI(1),1 Votes
Lilith Beresford,awake,ESFJ,https://www.personality-database.com/profile/49494/lilith-beresford-awake-2007-mbti-personality-type,2007.0,,211933.0,ESFJ(3),4 Votes,XXXX(0),0 Votes
Clay Beresford,awake,INFJ,https://www.personality-database.com/profile/49492/clay-beresford-awake-2007-mbti-personality-type,2007.0,,211933.0,INFJ(6),10 Votes,SCOEN(1),1 Votes
Scout Master Ward,moonrise kingdom,ESFJ,https://www.personality-database.com/profile/46898/scout-master-ward-moonrise-kingdom-2012-mbti-personality-type,2012.0,,1748122.0,ESFJ(29),42 Votes,SCOAN(2),3 Votes
Laura Bishop,moonrise kingdom,ESTJ,https://www.personality-database.com/profile/413557/laura-bishop-moonrise-kingdom-2012-mbti-personality-type,2012.0,,1748122.0,ESTJ(5),5 Votes,XXXX(0),0 Votes
Walt Bishop,moonrise kingdom,ESTJ,https://www.personality-database.com/profile/201366/walt-bishop-moonrise-kingdom-2012-mbti-personality-type,2012.0,,1748122.0,ESTJ(5),5 Votes,XXXX(0),0 Votes
Redford,moonrise kingdom,ESTP,https://www.personality-database.com/profile/46899/redford-moonrise-kingdom-2012-mbti-personality-type,2012.0,,1748122.0,ESTP(22),22 Votes,XXXX(0),0 Votes
Suzy Bishop,moonrise kingdom,INFP,https://www.personality-database.com/profile/46897/suzy-bishop-moonrise-kingdom-2012-mbti-personality-type,2012.0,,1748122.0,INFP(103),195 Votes,RLUEI(11),14 Votes
Sam Shakusky,moonrise kingdom,INTP,https://www.personality-database.com/profile/46896/sam-shakusky-moonrise-kingdom-2012-mbti-personality-type,2012.0,,1748122.0,INTP(103),114 Votes,RLOAI(3),6 Votes
Captain Sharp,moonrise kingdom,ISFP,https://www.personality-database.com/profile/201365/captain-sharp-moonrise-kingdom-2012-mbti-personality-type,2012.0,,1748122.0,ISFP(10),12 Votes,XXXX(0),0 Votes
Henry,the bodyguard,ESFJ,https://www.personality-database.com/profile/42583/henry-the-bodyguard-1992-mbti-personality-type,1992.0,,103855.0,ESFJ(1),1 Votes,XXXX(0),0 Votes
Rachel Marron,the bodyguard,ESFP,https://www.personality-database.com/profile/12828/rachel-marron-the-bodyguard-1992-mbti-personality-type,1992.0,,103855.0,ESFP(14),17 Votes,XXXX(0),0 Votes
