movie,year,id
miller's crossing,1990.0,100150
misery,1990.0,100157
nightbreed,1990.0,100260
predator 2,1990.0,100403
pretty woman,1990.0,100405
the rescuers down under,1990.0,100477
state of grace,1990.0,100685
to sleep with anger,1990.0,100791
total recall,1990.0,100802
tremors,1990.0,100814
the two jakes,1990.0,100828
wild at heart,1990.0,100935
the addams family,1991.0,101272
american shaolin,1991.0,101327
backdraft,1991.0,101393
barton fink,1991.0,101410
bill & ted's bogus journey,1991.0,101452
boyz n the hood,1991.0,101507
curly sue,1991.0,101635
the doors,1991.0,101761
dutch,1991.0,101786
father of the bride,1991.0,101862
the fisher king,1991.0,101889
freddy's dead: the final nightmare,1991.0,101917
hangin' with the homeboys,1991.0,101998
highlander ii: the quickening,1991.0,102034
hudson hawk,1991.0,102070
jfk,1991.0,102138
kafka,1991.0,102181
the last boy scout,1991.0,102266
life stinks,1991.0,102303
light sleeper,1992.0,102307
mobsters,1991.0,102460
my girl,1991.0,102492
my own private idaho,1991.0,102494
new jack city,1991.0,102526
point break,1991.0,102685
rambling rose,1991.0,102753
the rapture,1991.0,102757
robin hood: prince of thieves,1991.0,102798
the rocketeer,1991.0,102803
the silence of the lambs,1991.0,102926
star trek vi: the undiscovered country,1991.0,102975
the super,1991.0,103007
talkin' dirty after dark,1991.0,103039
terminator 2: judgment day,1991.0,103064
thelma & louise,1991.0,103074
what about bob?,1991.0,103241
1492: conquest of paradise,1992.0,103594
aladdin,1992.0,103639
alien³,1992.0,103644
bad lieutenant,1992.0,103759
basic instinct,1992.0,103772
batman returns,1992.0,103776
the bodyguard,1992.0,103855
boomerang,1992.0,103859
bram stoker's dracula,1992.0,103874
buffy the vampire slayer,1992.0,103893
candyman,1992.0,103919
city of joy,1992.0,103976
the crying game,1992.0,104036
the cutting edge,1992.0,104040
death becomes her,1992.0,104070
deep cover,1992.0,104073
the distinguished gentleman,1992.0,104114
a few good men,1992.0,104257
glengarry glen ross,1992.0,104348
hellraiser iii: hell on earth,1992.0,104409
home alone 2: lost in new york,1992.0,104431
"honey, i blew up the kid",1992.0,104437
jennifer 8,1992.0,104549
knight moves,1992.0,104627
the last of the mohicans,1992.0,104691
malcolm x,1992.0,104797
man trouble,1992.0,104804
el mariachi,1992.0,104815
the mighty ducks,1992.0,104868
my cousin vinny,1992.0,104952
newsies,1992.0,104990
passenger 57,1992.0,105104
pet sematary ii,1992.0,105128
the player,1992.0,105151
the power of one,1992.0,105159
the public eye,1992.0,105187
reservoir dogs,1992.0,105236
single white female,1992.0,105414
sister act,1992.0,105417
sneakers,1992.0,105435
thunderheart,1992.0,105585
twin peaks: fire walk with me,1992.0,105665
under siege,1992.0,105690
unforgiven,1992.0,105695
where the day takes you,1992.0,105810
addams family values,1993.0,106220
arcade,,106302
arctic blue,1993.0,106303
army of darkness,1992.0,106308
batman: mask of the phantasm,1993.0,106364
being human,1994.0,106379
benny & joon,1993.0,106387
"bodies, rest & motion",1993.0,106447
body snatchers,1993.0,106452
body of evidence,1992.0,106453
cb4,1993.0,106500
cliffhanger,1993.0,106582
coneheads,1993.0,106598
cool runnings,1993.0,106611
dave,1993.0,106673
dazed and confused,1993.0,106677
demolition man,1993.0,106697
even cowgirls get the blues,1993.0,106834
fatal instinct,1993.0,106873
the firm,1993.0,106918
the fugitive,1993.0,106977
groundhog day,1993.0,107048
hocus pocus,1993.0,107120
indecent proposal,1993.0,107211
jason goes to hell: the final friday,1993.0,107254
jurassic park,1993.0,107290
kalifornia,1993.0,107302
leprechaun,1993.0,107387
manhattan murder mystery,1993.0,107507
the nightmare before christmas,1993.0,107688
the pelican brief,1993.0,107798
a perfect world,1993.0,107808
philadelphia,1993.0,107818
the piano,1993.0,107822
poetic justice,1993.0,107840
the program,1993.0,107889
the sandlot,1993.0,108037
schindler's list,1993.0,108052
six degrees of separation,1993.0,108149
sleepless in seattle,1993.0,108160
sliver,1993.0,108162
so i married an axe murderer,1993.0,108174
spare me,1993.0,108200
the thing called love,1993.0,108327
this boy's life,1993.0,108330
the three musketeers,1993.0,108333
tombstone,1993.0,108358
true romance,1993.0,108399
ace ventura: pet detective,1994.0,109040
blankman,1994.0,109288
clear and present danger,1994.0,109444
clerks,1994.0,109445
cobb,1994.0,109450
color of night,1994.0,109456
the crow,1994.0,109506
d2: the mighty ducks,1994.0,109520
disclosure,1994.0,109635
dumb and dumber,1994.0,109686
ed wood,1994.0,109707
the flintstones,1994.0,109813
forrest gump,1994.0,109830
four weddings and a funeral,1994.0,109831
mary shelley's frankenstein,1994.0,109836
freaked,1993.0,109838
heavenly creatures,1994.0,110005
heavyweights,1995.0,110006
highlander: the final dimension,1994.0,110027
the hudsucker proxy,1994.0,110074
i'll do anything,1994.0,110097
interview with the vampire: the vampire chronicles,1994.0,110148
killing zoe,1993.0,110265
the low life,1995.0,110400
the mask,1994.0,110475
maverick,1994.0,110478
mute witness,1995.0,110604
natural born killers,1994.0,110632
only you,1994.0,110737
before the rain,1994.0,110882
pulp fiction,1994.0,110912
quiz show,1994.0,110932
reality bites,1994.0,110950
texas chainsaw massacre: the next generation,1995.0,110978
serial mom,1994.0,111127
shallow grave,1994.0,111149
the shawshank redemption,1994.0,111161
speed,1994.0,111257
star trek: generations,1994.0,111280
stranglehold,1994.0,111300
true lies,1994.0,111503
new nightmare,1994.0,111686
the american president,1995.0,112346
apollo 13,1995.0,112384
assassins,1995.0,112401
bad boys,1995.0,112442
batman forever,1995.0,112462
the brady bunch movie,1995.0,112572
braveheart,1995.0,112573
the bridges of madison county,1995.0,112579
a bucket of blood,,112594
casino,1995.0,112641
casper,1995.0,112642
clockers,1995.0,112688
clueless,1995.0,112697
copycat,1995.0,112722
devil in a blue dress,1995.0,112857
die hard with a vengeance,1995.0,112864
four rooms,1995.0,113101
friday,1995.0,113118
full body massage,,113131
get shorty,1995.0,113161
goldeneye,1995.0,113189
a goofy movie,1995.0,113198
hackers,1995.0,113243
halloween: the curse of michael myers,1995.0,113253
heat,1995.0,113277
judge dredd,1995.0,113492
jumanji,1995.0,113497
kids,1995.0,113540
leaving las vegas,1995.0,113627
living in oblivion,1995.0,113677
lord of illusions,1995.0,113690
mallrats,1995.0,113749
mighty morphin power rangers,1995.0,113820
mr. holland's opus,1995.0,113862
nick of time,1995.0,113972
nixon,1995.0,113987
othello,1995.0,114057
outbreak,1995.0,114069
panther,1995.0,114084
the prophecy,1995.0,114194
the scarlet letter,1995.0,114345
se7en,1995.0,114369
sense and sensibility,1995.0,114388
showgirls,1995.0,114436
smoke,1995.0,114478
strange days,1995.0,114558
superfights,1996.0,114582
three wishes,1995.0,114663
toy story,1995.0,114709
12 monkeys,1995.0,114746
the usual suspects,1995.0,114814
virtuosity,1995.0,114857
while you were sleeping,1995.0,114924
101 dalmatians,1996.0,115433
bad moon,1996.0,115610
basquiat,1996.0,115632
beavis and butt-head do america,1996.0,115641
the birdcage,1996.0,115685
blood and wine,1996.0,115710
bottle rocket,1996.0,115734
bound,1996.0,115736
broken arrow,1996.0,115759
the cable guy,1996.0,115798
courage under fire,1996.0,115956
the craft,1996.0,115963
the crow: city of angels,1996.0,115986
d3: the mighty ducks,1996.0,116000
dragonheart,1996.0,116136
the english patient,1996.0,116209
escape from l.a.,1996.0,116225
executive decision,1996.0,116253
fargo,1996.0,116282
the frighteners,1996.0,116365
from dusk till dawn,1996.0,116367
the ghost and the darkness,1996.0,116409
independence day,1996.0,116629
the island of dr. moreau,1996.0,116654
jerry maguire,1996.0,116695
jingle all the way,1996.0,116705
kingpin,1996.0,116778
lone star,1996.0,116905
the long kiss goodnight,1996.0,116908
lost highway,1997.0,116922
mars attacks!,1996.0,116996
mission: impossible,1996.0,117060
moebius,1996.0,117069
the phantom,1996.0,117331
the rock,1996.0,117500
romeo + juliet,1996.0,117509
scream,1996.0,117571
shine,1996.0,117631
sleepers,1996.0,117665
sling blade,1996.0,117666
